"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Prokka_AMPS04__gff","Prokka_AMPS05__gff","Prokka_AMPS17__gff","Prokka_AMPS22__gff","Prokka_AMPS23__gff","Prokka_AMPS34__gff"
"group_1","","hypothetical protein","6","6","1","1","10241","","","","974","1013","1003","FAPEHDJO_05725","PECMOLEC_04169","GAOMCEMF_05950","HOKMPMND_04630","LGNEOHGC_01113","ANOIEJPP_04343"
"malK_2","","Maltose/maltodextrin import ATP-binding protein MalK","6","6","1","1","5238","","","","203","674","490","FAPEHDJO_01444","PECMOLEC_07471","GAOMCEMF_01408","HOKMPMND_00392","LGNEOHGC_05540","ANOIEJPP_05940"
"nadC","","putative nicotinate-nucleotide pyrophosphorylase [carboxylating]","6","6","1","1","5357","","","","899","899","899","FAPEHDJO_01041","PECMOLEC_07089","GAOMCEMF_01310","HOKMPMND_00016","LGNEOHGC_05446","ANOIEJPP_05553"
"group_1003","","hypothetical protein","6","6","1","1","5366","","","","1088","1088","1088","FAPEHDJO_01049","PECMOLEC_07096","GAOMCEMF_01303","HOKMPMND_00024","LGNEOHGC_05439","ANOIEJPP_05560"
"group_1004","","hypothetical protein","6","6","1","1","5385","","","","932","1133","1099","FAPEHDJO_01062","PECMOLEC_07110","GAOMCEMF_01289","HOKMPMND_00039","LGNEOHGC_05425","ANOIEJPP_05574"
"treY","","Maltooligosyl trehalose synthase","6","6","1","1","5392","","","","1787","2609","2472","FAPEHDJO_01069","PECMOLEC_07117","GAOMCEMF_01282","HOKMPMND_00046","LGNEOHGC_05418","ANOIEJPP_05581"
"rbsR_2","","Ribose operon repressor","6","6","1","1","5404","","","","707","1040","976","FAPEHDJO_01079","PECMOLEC_07127","GAOMCEMF_01273","HOKMPMND_00055","LGNEOHGC_05408","ANOIEJPP_05593"
"rcsC_17","","Sensor histidine kinase RcsC","6","6","1","1","5413","","","","1616","1928","1876","FAPEHDJO_01085","PECMOLEC_07133","GAOMCEMF_01267","HOKMPMND_00061","LGNEOHGC_05402","ANOIEJPP_05599"
"wbpA","","UDP-N-acetyl-D-glucosamine 6-dehydrogenase","6","6","1","1","5432","","","","1337","1547","1388","FAPEHDJO_01103","PECMOLEC_07150","GAOMCEMF_01250","HOKMPMND_00080","LGNEOHGC_05890","ANOIEJPP_05618"
"group_1010","","hypothetical protein","6","6","1","1","5444","","","","569","878","826","FAPEHDJO_01113","PECMOLEC_07162","GAOMCEMF_01240","HOKMPMND_00091","LGNEOHGC_05880","ANOIEJPP_05629"
"aroQ_1","","3-dehydroquinate dehydratase","6","6","1","1","5462","","","","260","443","401","FAPEHDJO_01133","PECMOLEC_07174","GAOMCEMF_01229","HOKMPMND_00102","LGNEOHGC_05860","ANOIEJPP_05642"
"group_1013","catD_2","3-oxoadipate enol-lactonase 2","6","6","1","1","5478","","","","809","809","809","FAPEHDJO_01145","PECMOLEC_07187","GAOMCEMF_01217","HOKMPMND_00115","LGNEOHGC_05848","ANOIEJPP_05655"
"hutI","","Imidazolonepropionase","6","6","1","1","5505","","","","1262","1262","1262","FAPEHDJO_01193","PECMOLEC_07211","GAOMCEMF_01202","HOKMPMND_00136","LGNEOHGC_05799","ANOIEJPP_05676"
"occQ","","Octopine transport system permease protein OccQ","6","6","1","1","5510","","","","530","725","692","FAPEHDJO_01198","PECMOLEC_07216","GAOMCEMF_01195","HOKMPMND_00141","LGNEOHGC_05794","ANOIEJPP_05681"
"group_1016","","hypothetical protein","6","6","1","1","6652","","","","335","788","712","FAPEHDJO_01205","PECMOLEC_07224","GAOMCEMF_01186","HOKMPMND_00150","LGNEOHGC_05787","ANOIEJPP_05689"
"sasA_1","","Adaptive-response sensory-kinase SasA","6","6","1","1","6657","","","","1895","1895","1895","FAPEHDJO_01210","PECMOLEC_07230","GAOMCEMF_01182","HOKMPMND_00154","LGNEOHGC_05783","ANOIEJPP_05693"
"pcaR","","Pca regulon regulatory protein","6","6","1","1","6726","","","","758","758","758","FAPEHDJO_01252","PECMOLEC_07275","GAOMCEMF_01143","HOKMPMND_00208","LGNEOHGC_05742","ANOIEJPP_05730"
"pcaJ","","3-oxoadipate CoA-transferase subunit B","6","6","1","1","6730","","","","704","719","709","FAPEHDJO_01261","PECMOLEC_07277","GAOMCEMF_01135","HOKMPMND_00210","LGNEOHGC_05735","ANOIEJPP_05732"
"pcaF","","Beta-ketoadipyl-CoA thiolase","6","6","1","1","6731","","","","1205","1205","1205","FAPEHDJO_01262","PECMOLEC_07278","GAOMCEMF_01134","HOKMPMND_00211","LGNEOHGC_05734","ANOIEJPP_05733"
"group_1021","","hypothetical protein","6","6","1","1","6747","","","","110","182","122","FAPEHDJO_01282","PECMOLEC_07292","GAOMCEMF_01113","HOKMPMND_00225","LGNEOHGC_05713","ANOIEJPP_05749"
